species	gen	learnset	tm
mamoswine	9	1:double-hit,1:mud-slap,1:powder-snow,1:tackle,15:ice-shard,30:icy-wind,37:amnesia,44:take-down,51:earthquake,58:blizzard	amnesia,blizzard,body-slam,bulldoze,charm,dig,double-edge,earth-power,earthquake,high-horsepower,hyper-beam,ice-beam,icicle-spear,icy-wind,iron-head,knock-off,mud-shot,mud-slap,rain-dance,reflect,rock-blast,rock-slide,rock-tomb,sandstorm,scary-face,stomping-tantrum,stone-edge,take-down
glaceon	9	1:charm,1:covet,1:double-edge,1:growl,1:icy-wind,1:swift,1:tackle,1:tail-whip,1:take-down,5:sand-attack,10:quick-attack,15:baby-doll-eyes,20:ice-shard,25:bite,40:freeze-dry,50:blizzard	blizzard,body-slam,calm-mind,charm,dig,double-edge,fake-tears,hyper-beam,hyper-voice,ice-beam,icicle-spear,icy-wind,mud-shot,mud-slap,rain-dance,shadow-ball,stored-power,sunny-day,swift,take-down,water-pulse
leafeon	9	1:bite,1:charm,1:covet,1:double-edge,1:growl,1:razor-leaf,1:swift,1:tackle,1:tail-whip,1:take-down,5:sand-attack,10:quick-attack,15:baby-doll-eyes,35:sunny-day,40:giga-drain,45:swords-dance,50:leaf-blade	aerial-ace,body-slam,bullet-seed,calm-mind,charm,dig,double-edge,fake-tears,giga-drain,hyper-beam,hyper-voice,knock-off,leaf-storm,mud-shot,mud-slap,rain-dance,seed-bomb,shadow-ball,solar-beam,stored-power,sunny-day,swift,swords-dance,take-down,x-scissor
mismagius	9	1:astonish,1:growl,1:power-gem	calm-mind,charge-beam,charm,confuse-ray,dark-pulse,dazzling-gleam,draining-kiss,fake-tears,hex,hyper-beam,hyper-voice,icy-wind,nasty-plot,power-gem,psybeam,psychic,psyshock,rain-dance,scary-face,shadow-ball,stored-power,sunny-day,swift,thunder,thunder-wave,thunderbolt,will-o-wisp
dusknoir	9	1:astonish,1:fire-punch,1:ice-punch,1:leer,1:shadow-punch,1:thunder-punch,12:confuse-ray,20:payback,24:will-o-wisp,32:hex,42:shadow-ball	blizzard,body-slam,brick-break,calm-mind,charge-beam,confuse-ray,dark-pulse,earthquake,fire-punch,hex,hyper-beam,ice-beam,ice-punch,icy-wind,leech-life,psychic,rain-dance,rock-slide,rock-tomb,shadow-ball,sunny-day,swift,thunder-punch,will-o-wisp
drapion	8	1:fell-stinger,1:leer,1:poison-sting,9:poison-fang,12:bite,18:bug-bite,21:venoshock,24:knock-off,27:scary-face,30:pin-missile,33:toxic,36:night-slash,39:cross-poison,44:x-scissor,54:crunch	agility,assurance,brick-break,bug-buzz,bulldoze,cross-poison,crunch,dark-pulse,dig,earthquake,false-swipe,hyper-beam,iron-defense,iron-tail,leech-life,payback,pin-missile,poison-jab,rain-dance,retaliate,rock-slide,rock-tomb,round,scary-face,screech,shadow-ball,sludge-bomb,stomping-tantrum,sunny-day,swords-dance,venoshock,x-scissor
togekiss	8	1:air-slash,1:aura-sphere,1:charm,1:double-edge,1:extreme-speed,1:fairy-wind,1:growl,1:life-dew,1:pound,1:safeguard,1:sweet-kiss,1:tri-attack	air-slash,amnesia,aura-sphere,body-slam,brick-break,charm,dazzling-gleam,drain-punch,draining-kiss,fire-blast,flamethrower,fly,heat-wave,hyper-beam,hyper-voice,light-screen,mega-kick,mega-punch,nasty-plot,play-rough,psychic,psyshock,rain-dance,reflect,retaliate,round,safeguard,shadow-ball,smart-strike,solar-beam,stored-power,sunny-day,swift,thunder-wave,tri-attack,zen-headbutt
scolipede	8	1:iron-defense,1:poison-sting,16:screech,20:bug-bite,26:venoshock,34:take-down,42:agility,50:toxic,66:double-edge,74:megahorn	agility,assurance,bulldoze,cross-poison,dig,earthquake,hex,hyper-beam,iron-defense,iron-tail,megahorn,payback,pin-missile,poison-jab,rock-slide,rock-tomb,round,screech,sludge-bomb,smart-strike,solar-beam,stomping-tantrum,sunny-day,swords-dance,venoshock,x-scissor
chandelure	9	1:astonish,1:confuse-ray,1:ember,1:hex,1:inferno,1:overheat,1:shadow-ball,1:smog,1:will-o-wisp	calm-mind,confuse-ray,dark-pulse,fire-blast,flame-charge,flamethrower,flare-blitz,heat-wave,hex,hyper-beam,overheat,psychic,shadow-ball,solar-beam,sunny-day,will-o-wisp
excadrill	9	1:mud-slap,1:rapid-spin,1:scratch,12:fury-swipes,16:metal-claw,20:sandstorm,28:rock-slide,34:dig,40:swords-dance,46:drill-run,52:earthquake	aerial-ace,body-slam,brick-break,bulldoze,dig,double-edge,drill-run,earth-power,earthquake,high-horsepower,hyper-beam,iron-defense,iron-head,metal-claw,metal-sound,mud-shot,mud-slap,poison-jab,rock-blast,rock-slide,rock-tomb,sandstorm,scary-face,smart-strike,stomping-tantrum,sunny-day,swords-dance,take-down,x-scissor
conkeldurr	9	1:leer,1:pound,1:rock-throw,20:rock-slide,24:slam,30:scary-face,36:dynamic-punch,42:hammer-arm,48:stone-edge	body-slam,brick-break,bulldoze,dig,double-edge,drain-punch,earthquake,fire-punch,high-horsepower,hyper-beam,ice-punch,knock-off,low-sweep,poison-jab,rain-dance,rock-blast,rock-slide,rock-tomb,scary-face,stomping-tantrum,stone-edge,sunny-day,take-down,thunder-punch
sylveon	9	1:bite,1:charm,1:covet,1:disarming-voice,1:double-edge,1:growl,1:tackle,1:tail-whip,1:take-down,5:sand-attack,10:quick-attack,15:baby-doll-eyes,20:swift,25:light-screen,30:draining-kiss,50:moonblast	body-slam,calm-mind,charm,dazzling-gleam,dig,disarming-voice,double-edge,draining-kiss,fake-tears,hyper-beam,hyper-voice,light-screen,mud-slap,play-rough,psychic,psyshock,rain-dance,reflect,shadow-ball,stored-power,sunny-day,swift,take-down
slugma	9	1:smog,6:ember,8:rock-throw,13:harden,20:clear-smog,27:incinerate,29:rock-slide,34:lava-plume,36:amnesia,41:body-slam,43:recover,48:flamethrower,50:earth-power	double-team,fire-blast,flamethrower,light-screen,overheat,reflect,rock-smash,sunny-day,toxic
magcargo	9	1:earth-power,1:ember,1:rock-throw,1:smog,13:harden,20:clear-smog,27:incinerate,29:rock-slide,34:lava-plume,36:amnesia,43:body-slam,47:recover,54:flamethrower	double-team,earthquake,fire-blast,flamethrower,hyper-beam,light-screen,overheat,reflect,rock-smash,rock-tomb,sandstorm,strength,sunny-day,toxic
dunsparce	9	4:mud-slap,12:glare,16:screech,24:drill-run,40:dragon-rush,48:double-edge	blizzard,calm-mind,dig,double-team,earthquake,fire-blast,flamethrower,ice-beam,iron-tail,rain-dance,rock-smash,rock-tomb,shadow-ball,shock-wave,solar-beam,strength,sunny-day,thunder,thunderbolt,toxic,water-pulse
sneasel	9	1:leer,1:scratch,12:quick-attack,18:metal-claw,24:icy-wind,30:fury-swipes,48:agility,54:screech,60:slash	aerial-ace,blizzard,brick-break,calm-mind,cut,dig,double-team,hail,ice-beam,iron-tail,rain-dance,rock-smash,shadow-ball,strength,sunny-day,surf,toxic
swinub	9	1:mud-slap,1:tackle,5:powder-snow,15:ice-shard,30:icy-wind,35:amnesia,40:take-down,45:earthquake,50:blizzard	blizzard,dig,double-team,earthquake,hail,ice-beam,light-screen,rain-dance,reflect,rock-smash,rock-tomb,sandstorm,strength,toxic
delibird	9	1:present,25:drill-peck	aerial-ace,blizzard,double-team,fly,hail,ice-beam,rain-dance,toxic,water-pulse
marill	9	1:tackle,1:tail-whip,1:water-gun,6:bubble-beam,9:charm,12:slam,19:aqua-tail,21:play-rough,27:rain-dance,30:hydro-pump,33:double-edge	blizzard,brick-break,dig,double-team,hail,ice-beam,iron-tail,rain-dance,rock-smash,strength,surf,toxic,water-pulse,waterfall
wooper	9	1:tail-whip,1:water-gun,4:rain-dance,8:mud-shot,16:slam,24:aqua-tail,28:muddy-water,32:amnesia,36:toxic,40:earthquake	blizzard,dig,double-team,earthquake,flash,hail,ice-beam,iron-tail,rain-dance,rock-smash,sandstorm,sludge-bomb,surf,toxic,water-pulse,waterfall
hoppip	9	1:splash,1:tackle,4:tail-whip,6:absorb,8:fairy-wind,10:poison-powder,10:sleep-powder,10:stun-spore,12:bullet-seed,22:mega-drain,32:giga-drain	aerial-ace,bullet-seed,double-team,flash,giga-drain,solar-beam,sunny-day,toxic
qwilfish	9	1:poison-sting,1:tackle,4:harden,8:water-gun,12:fell-stinger,24:brine,28:poison-jab,32:pin-missile,44:toxic,48:aqua-tail	blizzard,double-team,hail,ice-beam,rain-dance,shadow-ball,shock-wave,sludge-bomb,surf,toxic,water-pulse,waterfall
remoraid	8	1:water-gun,4:water-pulse,12:psybeam,16:aurora-beam,20:bubble-beam,28:bullet-seed,32:ice-beam,36:hydro-pump,44:hyper-beam	blizzard,double-team,fire-blast,flamethrower,hyper-beam,ice-beam,psychic,rain-dance,sunny-day,surf,toxic,water-pulse,waterfall
togepi	8	1:growl,1:pound,4:sweet-kiss,8:life-dew,12:charm,32:double-edge,36:safeguard	double-team,fire-blast,flamethrower,flash,light-screen,psychic,rain-dance,reflect,rock-smash,safeguard,shadow-ball,shock-wave,solar-beam,sunny-day,toxic,water-pulse
piloswine	9	1:mud-slap,1:powder-snow,1:tackle,15:ice-shard,30:icy-wind,37:amnesia,44:take-down,51:earthquake,58:blizzard	blizzard,dig,double-team,earthquake,hail,hyper-beam,ice-beam,light-screen,rain-dance,reflect,rock-smash,rock-tomb,sandstorm,strength,toxic
azumarill	9	1:tackle,1:tail-whip,1:water-gun,6:bubble-beam,9:charm,12:slam,21:aqua-tail,25:play-rough,35:rain-dance,40:hydro-pump,45:double-edge	blizzard,brick-break,dig,double-team,hail,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,strength,surf,toxic,water-pulse,waterfall
quagsire	9	1:mud-shot,1:rain-dance,1:tail-whip,1:water-gun,16:slam,28:aqua-tail,34:muddy-water,40:amnesia,46:toxic,52:earthquake	blizzard,brick-break,dig,double-team,earthquake,flash,hail,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,rock-tomb,sandstorm,sludge-bomb,strength,surf,toxic,water-pulse,waterfall
skiploom	9	1:absorb,1:splash,1:tail-whip,8:tackle,10:fairy-wind,12:poison-powder,12:sleep-powder,12:stun-spore,15:bullet-seed,24:mega-drain,37:giga-drain	aerial-ace,bullet-seed,double-team,flash,giga-drain,solar-beam,sunny-day,toxic
jumpluff	9	1:absorb,1:splash,1:tail-whip,8:tackle,10:fairy-wind,12:poison-powder,12:sleep-powder,12:stun-spore,15:bullet-seed,24:mega-drain,43:giga-drain	aerial-ace,bullet-seed,double-team,flash,giga-drain,hyper-beam,solar-beam,sunny-day,toxic
octillery	8	1:gunk-shot,1:rock-blast,1:water-gun,1:water-pulse,12:psybeam,16:aurora-beam,20:bubble-beam,30:bullet-seed,36:ice-beam,42:hydro-pump,54:hyper-beam	blizzard,bullet-seed,double-team,fire-blast,flamethrower,hyper-beam,ice-beam,psychic,rain-dance,sludge-bomb,sunny-day,surf,toxic,water-pulse,waterfall
togetic	8	1:fairy-wind,1:growl,1:life-dew,1:pound,1:sweet-kiss,12:charm,32:double-edge,36:safeguard	aerial-ace,brick-break,double-team,fire-blast,flamethrower,flash,fly,hyper-beam,light-screen,psychic,rain-dance,reflect,rock-smash,safeguard,shadow-ball,shock-wave,solar-beam,sunny-day,toxic,water-pulse
sentret	9	1:scratch,7:quick-attack,13:fury-swipes,25:slam,36:amnesia,42:double-edge,47:hyper-voice	brick-break,cut,dig,double-team,flamethrower,ice-beam,iron-tail,rain-dance,shadow-ball,shock-wave,solar-beam,sunny-day,surf,thunderbolt,toxic,water-pulse
furret	9	1:agility,1:quick-attack,1:scratch,13:fury-swipes,28:slam,42:amnesia,50:double-edge,56:hyper-voice	blizzard,brick-break,cut,dig,double-team,flamethrower,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,shadow-ball,shock-wave,solar-beam,strength,sunny-day,surf,thunder,thunderbolt,toxic,water-pulse
ledyba	7	1:tackle,5:supersonic,8:swift,12:light-screen,12:reflect,12:safeguard,15:mach-punch,19:silver-wind,29:agility,33:bug-buzz,36:air-slash,40:double-edge	aerial-ace,brick-break,dig,double-team,flash,giga-drain,light-screen,reflect,safeguard,solar-beam,sunny-day,toxic
ledian	7	1:supersonic,1:swift,1:tackle,12:light-screen,12:reflect,12:safeguard,15:mach-punch,20:silver-wind,33:agility,38:bug-buzz,42:air-slash,47:double-edge	aerial-ace,brick-break,dig,double-team,flash,giga-drain,hyper-beam,light-screen,reflect,safeguard,solar-beam,sunny-day,toxic
spinarak	9	1:poison-sting,1:string-shot,5:absorb,12:scary-face,22:fury-swipes,29:agility,33:pin-missile,36:psychic,40:poison-jab,44:cross-poison	dig,double-team,flash,giga-drain,psychic,sludge-bomb,solar-beam,sunny-day,toxic
ariados	9	1:absorb,1:bug-bite,1:fell-stinger,1:poison-sting,1:string-shot,1:swords-dance,12:scary-face,23:fury-swipes,31:agility,35:pin-missile,41:psychic,46:poison-jab,50:cross-poison	dig,double-team,flash,giga-drain,hyper-beam,psychic,sludge-bomb,solar-beam,sunny-day,toxic
natu	8	1:leer,1:peck,5:stored-power,10:teleport,15:confuse-ray,35:psychic	aerial-ace,calm-mind,double-team,flash,giga-drain,light-screen,psychic,rain-dance,reflect,shadow-ball,solar-beam,sunny-day,toxic
xatu	8	1:air-slash,1:leer,1:peck,1:stored-power,1:teleport,15:confuse-ray,41:psychic	aerial-ace,calm-mind,double-team,flash,fly,giga-drain,hyper-beam,light-screen,psychic,rain-dance,reflect,shadow-ball,solar-beam,sunny-day,toxic
yanma	9	1:tackle,6:quick-attack,11:double-team,14:air-cutter,22:supersonic,30:bug-bite,38:hypnosis,43:wing-attack,46:screech,54:air-slash,57:bug-buzz	aerial-ace,double-team,flash,giga-drain,psychic,shadow-ball,solar-beam,sunny-day,toxic
murkrow	9	1:astonish,1:peck,5:gust,15:wing-attack,25:assurance	aerial-ace,calm-mind,double-team,fly,rain-dance,shadow-ball,sunny-day,toxic
misdreavus	9	1:confusion,1:growl,10:astonish,14:confuse-ray,23:hex,28:psybeam,37:payback,41:shadow-ball,50:power-gem	aerial-ace,calm-mind,double-team,flash,psychic,rain-dance,shadow-ball,shock-wave,sunny-day,thunder,thunderbolt,toxic
wobbuffet	8	1:amnesia,1:charm,1:safeguard,1:splash	
heracross	9	1:leer,1:tackle,5:fury-attack,15:aerial-ace,20:horn-attack,30:brick-break,35:pin-missile,50:swords-dance,55:megahorn	brick-break,cut,dig,double-team,earthquake,hyper-beam,rain-dance,rock-smash,rock-tomb,strength,sunny-day,toxic
mantine	8	1:bullet-seed,1:psybeam,1:supersonic,1:tackle,1:water-gun,1:wing-attack,12:water-pulse,20:agility,24:bubble-beam,28:headbutt,32:air-slash,44:take-down,48:hydro-pump	aerial-ace,blizzard,double-team,earthquake,hail,ice-beam,rain-dance,surf,toxic,water-pulse,waterfall
skarmory	9	1:leer,1:peck,4:sand-attack,8:fury-attack,12:metal-claw,16:agility,20:wing-attack,24:slash,32:payback,36:drill-peck,40:metal-sound,48:iron-defense,52:brave-bird	aerial-ace,cut,double-team,fly,rock-smash,sandstorm,sunny-day,toxic
phanpy	9	1:growl,1:tackle,15:bulldoze,24:slam,28:take-down,33:charm,42:double-edge	double-team,earthquake,iron-tail,rock-smash,rock-tomb,sandstorm,strength,sunny-day,toxic
donphan	9	1:bulldoze,1:fury-attack,1:growl,1:horn-attack,6:rapid-spin,15:assurance,19:knock-off,24:slam,30:stomping-tantrum,37:scary-face,43:earthquake	double-team,earthquake,hyper-beam,iron-tail,rock-smash,rock-tomb,sandstorm,strength,sunny-day,toxic
larvitar	9	1:leer,1:tackle,3:rock-throw,6:payback,9:bite,12:scary-face,15:rock-slide,18:stomping-tantrum,21:screech,27:crunch,31:earthquake,33:stone-edge,39:sandstorm,42:hyper-beam	brick-break,dig,double-team,earthquake,hyper-beam,rain-dance,rock-smash,sandstorm,sunny-day,toxic
pupitar	9	1:iron-defense,1:leer,1:payback,1:rock-throw,1:tackle,9:bite,12:scary-face,15:rock-slide,18:stomping-tantrum,21:screech,27:crunch,33:earthquake,37:stone-edge,47:sandstorm,52:hyper-beam	brick-break,dig,double-team,earthquake,hyper-beam,rain-dance,rock-smash,sandstorm,sunny-day,toxic
